Date,Comp,Round,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%
8/5/18,Community Shield,FA Community Shield,L,0,2,Manchester City,8,2,6,0.75
8/11/18,Premier League,Matchweek 1,W,3,0,Huddersfield,2,0,2,1
8/18/18,Premier League,Matchweek 2,W,3,2,Arsenal,6,2,4,0.667
8/26/18,Premier League,Matchweek 3,W,2,1,Newcastle Utd,2,1,1,0.5
9/1/18,Premier League,Matchweek 4,W,2,0,Bournemouth,1,0,1,1
9/15/18,Premier League,Matchweek 5,W,4,1,Cardiff City,2,1,1,0.5
9/20/18,Europa Lg,Group stage,W,1,0,gr PAOK,1,0,1,1
9/23/18,Premier League,Matchweek 6,D,0,0,West Ham,1,0,1,1
9/26/18,EFL Cup,Third round,W,2,1,Liverpool,7,1,6,0.857
9/29/18,Premier League,Matchweek 7,D,1,1,Liverpool,4,1,3,0.75
10/4/18,Europa Lg,Group stage,W,1,0,hu Vidi,3,0,3,1
10/7/18,Premier League,Matchweek 8,W,3,0,Southampton,6,0,6,1
10/20/18,Premier League,Matchweek 9,D,2,2,Manchester Utd,4,2,2,0.5
10/25/18,Europa Lg,Group stage,W,3,1,by BATE Borisov,2,1,1,0.5
10/28/18,Premier League,Matchweek 10,W,4,0,Burnley,1,0,1,1
10/31/18,EFL Cup,Fourth round,W,3,2,Derby County,7,2,5,0.714
11/4/18,Premier League,Matchweek 11,W,3,1,Crystal Palace,1,1,0,0
11/8/18,Europa Lg,Group stage,W,1,0,by BATE Borisov,1,0,1,1
11/11/18,Premier League,Matchweek 12,D,0,0,Everton,1,0,1,1
11/24/18,Premier League,Matchweek 13,L,1,3,Tottenham,8,3,5,0.625
11/29/18,Europa Lg,Group stage,W,4,0,gr PAOK,0,0,0,
12/2/18,Premier League,Matchweek 14,W,2,0,Fulham,5,0,5,1
12/5/18,Premier League,Matchweek 15,L,1,2,Wolves,2,2,0,0
12/8/18,Premier League,Matchweek 16,W,2,0,Manchester City,4,0,4,1
12/13/18,Europa Lg,Group stage,D,2,2,hu Vidi,3,2,2,0.333
12/16/18,Premier League,Matchweek 17,W,2,1,Brighton,2,1,1,0.5
12/19/18,EFL Cup,Quarter-finals,W,1,0,Bournemouth,3,0,3,1
12/22/18,Premier League,Matchweek 18,L,0,1,Leicester City,3,1,2,0.667
12/26/18,Premier League,Matchweek 19,W,2,1,Watford,2,1,1,0.5
12/30/18,Premier League,Matchweek 20,W,1,0,Crystal Palace,0,0,0,
1/2/19,Premier League,Matchweek 21,D,0,0,Southampton,2,0,2,1
1/5/19,FA Cup,Third round,W,2,0,Nott'ham Forest,2,0,2,1
1/8/19,EFL Cup,Semi-finals,L,0,1,Tottenham,3,1,3,1
1/12/19,Premier League,Matchweek 22,W,2,1,Newcastle Utd,2,1,1,0.5
1/19/19,Premier League,Matchweek 23,L,0,2,Arsenal,5,2,3,0.6
1/24/19,EFL Cup,Semi-finals,W,2 (4),1 (2),Tottenham,1,1,0,0
1/27/19,FA Cup,Fourth round,W,3,0,Sheffield Weds,1,0,1,1
1/30/19,Premier League,Matchweek 24,L,0,4,Bournemouth,7,4,3,0.429
2/2/19,Premier League,Matchweek 25,W,5,0,Huddersfield,2,0,2,1
2/10/19,Premier League,Matchweek 26,L,0,6,Manchester City,8,6,3,0.375
2/14/19,Europa Lg,Round of 32,W,2,1,se Malmö,2,1,1,0.5
2/18/19,FA Cup,Fifth round,L,0,2,Manchester Utd,5,2,3,0.6
2/21/19,Europa Lg,Round of 32,W,3,0,se Malmö,0,0,0,
2/24/19,EFL Cup,Final,D,0 (3),0 (4),Manchester City,3,0,3,1
2/27/19,Premier League,Matchweek 28,W,2,0,Tottenham,0,0,0,
3/3/19,Premier League,Matchweek 29,W,2,1,Fulham,5,1,4,0.8
3/7/19,Europa Lg,Round of 16,W,3,0,ua Dynamo Kyiv,0,0,0,
3/10/19,Premier League,Matchweek 30,D,1,1,Wolves,1,1,0,0
3/14/19,Europa Lg,Round of 16,W,5,0,ua Dynamo Kyiv,2,0,2,1
3/17/19,Premier League,Matchweek 31,L,0,2,Everton,6,2,4,0.667
3/31/19,Premier League,Matchweek 32,W,2,1,Cardiff City,3,1,2,0.667
4/3/19,Premier League,Matchweek 27,W,3,0,Brighton,1,0,1,1
4/8/19,Premier League,Matchweek 33,W,2,0,West Ham,2,0,2,1
4/11/19,Europa Lg,Quarter-finals,W,1,0,cz Slavia Prague,3,0,3,1
4/14/19,Premier League,Matchweek 34,L,0,2,Liverpool,7,2,5,0.714
4/18/19,Europa Lg,Quarter-finals,W,4,3,cz Slavia Prague,4,3,1,0.25
4/22/19,Premier League,Matchweek 35,D,2,2,Burnley,2,2,0,0
4/28/19,Premier League,Matchweek 36,D,1,1,Manchester Utd,4,1,3,0.75
5/2/19,Europa Lg,Semi-finals,D,1,1,de Eint Frankfurt,1,1,0,0
5/5/19,Premier League,Matchweek 37,W,3,0,Watford,3,0,2,1
5/9/19,Europa Lg,Semi-finals,W,1 (4),1 (3),de Eint Frankfurt,4,1,3,0.75
5/12/19,Premier League,Matchweek 38,D,0,0,Leicester City,3,0,3,1
5/29/19,Europa Lg,Final,W,4,1,eng Arsenal,2,1,1,0.5