Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2018-08-12,21:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,W,2,1,Sevilla,3,0,0,13,20,3,7,4,11,0,1,0,,,,,Match Report
2018-08-18,22:15 ,La Liga,Matchweek 1,Sat,Home,W,3,0,Alavés,0,0,0,6,12,3,17,0,3,0,0,0,101,9,2,81.8,Match Report
2018-08-25,22:15 ,La Liga,Matchweek 2,Sat,Away,W,1,0,Valladolid,1,0,0,11,10,1,15,0,4,0,0,0,93,6,6,50.0,Match Report
2018-09-02,18:30 ,La Liga,Matchweek 3,Sun,Home,W,8,2,Huesca,1,0,0,6,12,2,10,5,11,1,0,0,74,1,0,100.0,Match Report
2018-09-15,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Real Sociedad,1,0,0,8,18,0,7,7,14,0,0,0,100,7,11,38.9,Match Report
2018-09-18,18:55 ,Champions Lg,Group stage,Tue,Home,W,4,0,nl PSV Eindhoven,1,1,1,10,12,1,10,6,10,0,0,0,88,5,5,50.0,Match Report
2018-09-23,20:45 ,La Liga,Matchweek 5,Sun,Home,D,2,2,Girona,3,1,0,9,16,1,11,6,7,0,0,0,85,4,2,66.7,Match Report
2018-09-26,20:00 ,La Liga,Matchweek 6,Wed,Away,L,1,2,Leganés,2,0,0,11,15,5,10,5,11,0,0,0,83,9,8,52.9,Match Report
2018-09-29,16:15 ,La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,3,0,0,9,18,2,13,8,11,0,0,0,122,11,10,52.4,Match Report
2018-10-03,20:00 ,Champions Lg,Group stage,Wed,Away,W,4,2,eng Tottenham,2,0,0,9,17,3,6,10,12,0,0,0,71,4,5,44.4,Match Report
2018-10-07,20:45 ,La Liga,Matchweek 8,Sun,Away,D,1,1,Valencia,2,0,0,6,11,2,10,9,10,0,0,0,93,3,4,42.9,Match Report
2018-10-20,20:45 ,La Liga,Matchweek 9,Sat,Home,W,4,2,Sevilla,0,0,0,10,14,1,4,9,10,1,0,0,71,8,9,47.1,Match Report
2018-10-24,21:00 ,Champions Lg,Group stage,Wed,Home,W,2,0,it Inter,1,0,0,11,18,4,12,11,17,0,0,0,87,9,7,56.3,Match Report
2018-10-28,16:15 ,La Liga,Matchweek 10,Sun,Home,W,5,1,Real Madrid,2,0,0,17,14,2,12,11,11,1,0,0,65,5,3,62.5,Match Report
2018-10-31,21:30 ,Copa del Rey,Round of 32,Wed,Away,W,1,0,Leonesa,1,0,0,9,22,2,15,12,12,0,0,0,,,,,Match Report
2018-11-03,20:45 ,La Liga,Matchweek 11,Sat,Away,W,3,2,Rayo Vallecano,2,0,0,11,23,2,18,5,21,0,0,0,89,5,5,50.0,Match Report
2018-11-06,21:00 ,Champions Lg,Group stage,Tue,Away,D,1,1,it Inter,1,0,0,9,11,0,9,7,7,0,0,0,103,6,5,54.5,Match Report
2018-11-11,16:15 ,La Liga,Matchweek 12,Sun,Home,L,3,4,Betis,4,1,1,13,10,2,19,16,8,1,0,0,66,7,10,41.2,Match Report
2018-11-24,20:45 ,La Liga,Matchweek 13,Sat,Away,D,1,1,Atlético Madrid,3,0,0,12,19,0,11,7,11,0,0,0,85,3,10,23.1,Match Report
2018-11-28,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,nl PSV Eindhoven,2,0,0,11,14,1,10,9,19,0,0,0,96,17,13,56.7,Match Report
2018-12-02,18:30 ,La Liga,Matchweek 14,Sun,Home,W,2,0,Villarreal,2,0,0,9,17,3,18,14,11,0,0,0,62,5,8,38.5,Match Report
2018-12-05,21:30 ,Copa del Rey,Round of 32,Wed,Home,W,4,1,Leonesa,1,0,0,16,8,1,7,19,12,0,0,0,,,,,Match Report
2018-12-08,20:45 ,La Liga,Matchweek 15,Sat,Away,W,4,0,Espanyol,0,0,0,10,16,4,8,6,15,0,0,0,79,7,4,63.6,Match Report
2018-12-11,21:00 ,Champions Lg,Group stage,Tue,Home,D,1,1,eng Tottenham,1,0,0,9,19,4,7,11,6,0,0,0,75,9,8,52.9,Match Report
2018-12-16,20:45 ,La Liga,Matchweek 16,Sun,Away,W,5,0,Levante,3,0,0,9,11,4,3,10,11,0,0,0,65,10,2,83.3,Match Report
2018-12-22,18:30 ,La Liga,Matchweek 17,Sat,Home,W,2,0,Celta Vigo,0,0,0,14,15,5,5,16,7,0,0,0,67,4,4,50.0,Match Report
2019-01-06,20:45 ,La Liga,Matchweek 18,Sun,Away,W,2,1,Getafe,3,0,0,12,21,2,5,2,9,0,0,0,76,7,5,58.3,Match Report
2019-01-10,21:30 ,Copa del Rey,Round of 16,Thu,Away,L,1,2,Levante,4,0,0,16,14,3,5,8,18,1,0,0,,,,,Match Report
2019-01-13,18:30 ,La Liga,Matchweek 19,Sun,Home,W,3,0,Eibar,2,0,0,10,12,8,10,10,13,0,0,0,86,14,8,63.6,Match Report
2019-01-17,21:30 ,Copa del Rey,Round of 16,Thu,Home,W,3,0,Levante,2,0,0,12,20,3,9,9,14,0,0,0,,,,,Match Report
2019-01-20,20:45 ,La Liga,Matchweek 20,Sun,Home,W,3,1,Leganés,3,0,0,12,18,0,11,8,11,0,0,0,101,8,8,50.0,Match Report
2019-01-23,21:30 ,Copa del Rey,Quarter-finals,Wed,Away,L,0,2,Sevilla,1,0,0,9,19,6,15,13,8,0,0,0,,,,,Match Report
2019-01-27,16:15 ,La Liga,Matchweek 21,Sun,Away,W,2,0,Girona,3,0,0,12,18,2,4,4,11,0,0,0,83,6,4,60.0,Match Report
2019-01-30,21:30 ,Copa del Rey,Quarter-finals,Wed,Home,W,6,1,Sevilla,1,0,0,10,16,3,7,14,10,1,1,0,,,,,Match Report
2019-02-02,18:30 ,La Liga,Matchweek 22,Sat,Home,D,2,2,Valencia,3,0,0,8,5,2,15,7,7,1,1,0,93,11,15,42.3,Match Report
2019-02-06,21:00 ,Copa del Rey,Semi-finals,Wed,Home,D,1,1,Real Madrid,4,0,0,16,17,3,12,17,14,0,0,0,,,,,Match Report
2019-02-10,20:45 ,La Liga,Matchweek 23,Sun,Away,D,0,0,Athletic Club,2,0,0,10,21,3,8,0,11,0,0,0,84,9,9,50.0,Match Report
2019-02-16,20:45 ,La Liga,Matchweek 24,Sat,Home,W,1,0,Valladolid,1,0,0,12,18,3,10,12,13,2,0,0,101,9,5,64.3,Match Report
2019-02-19,21:00 ,Champions Lg,Round of 16,Tue,Away,D,0,0,fr Lyon,2,0,0,11,13,1,18,8,15,0,0,0,87,7,7,50.0,Match Report
2019-02-23,16:15 ,La Liga,Matchweek 25,Sat,Away,W,4,2,Sevilla,1,0,0,11,15,3,11,9,8,0,0,0,84,11,7,61.1,Match Report
2019-02-27,21:00 ,Copa del Rey,Semi-finals,Wed,Away,W,3,0,Real Madrid,2,0,0,16,15,1,5,12,7,1,0,0,,,,,Match Report
2019-03-02,20:45 ,La Liga,Matchweek 26,Sat,Away,W,1,0,Real Madrid,2,0,0,13,16,2,9,8,15,0,0,0,81,7,9,43.8,Match Report
2019-03-09,18:30 ,La Liga,Matchweek 27,Sat,Home,W,3,1,Rayo Vallecano,1,0,0,12,15,5,13,4,16,1,0,0,86,4,7,36.4,Match Report
2019-03-13,21:00 ,Champions Lg,Round of 16,Wed,Home,W,5,1,fr Lyon,1,0,0,11,17,4,5,5,11,1,0,0,83,10,5,66.7,Match Report
2019-03-17,20:45 ,La Liga,Matchweek 28,Sun,Away,W,4,1,Betis,2,0,0,11,10,2,5,11,9,0,0,0,67,11,3,78.6,Match Report
2019-03-30,16:15 ,La Liga,Matchweek 29,Sat,Home,W,2,0,Espanyol,0,0,0,15,14,2,11,8,12,0,0,0,100,10,13,43.5,Match Report
2019-04-02,21:30 ,La Liga,Matchweek 30,Tue,Away,D,4,4,Villarreal,7,0,0,10,10,4,4,4,10,0,0,0,67,4,9,30.8,Match Report
2019-04-06,20:45 ,La Liga,Matchweek 31,Sat,Home,W,2,0,Atlético Madrid,3,0,0,14,11,1,7,7,9,0,0,0,84,8,16,33.3,Match Report
2019-04-10,20:00 ,Champions Lg,Quarter-finals,Wed,Away,W,1,0,eng Manchester Utd,2,0,0,11,15,0,2,8,5,0,0,0,61,4,9,30.8,Match Report
2019-04-13,16:15 ,La Liga,Matchweek 32,Sat,Away,D,0,0,Huesca,2,0,0,13,18,8,5,8,14,0,0,0,88,11,16,40.7,Match Report
2019-04-16,21:00 ,Champions Lg,Quarter-finals,Tue,Home,W,3,0,eng Manchester Utd,1,0,0,10,15,0,9,5,6,0,0,0,66,4,7,36.4,Match Report
2019-04-20,20:45 ,La Liga,Matchweek 33,Sat,Home,W,2,1,Real Sociedad,0,0,0,11,10,6,10,14,11,0,0,0,86,12,8,60.0,Match Report
2019-04-23,21:30 ,La Liga,Matchweek 34,Tue,Away,W,2,0,Alavés,1,0,0,9,17,1,9,4,6,0,0,0,87,19,15,55.9,Match Report
2019-04-27,20:45 ,La Liga,Matchweek 35,Sat,Home,W,1,0,Levante,4,0,0,17,10,1,14,7,16,0,0,0,88,6,8,42.9,Match Report
2019-05-01,21:00 ,Champions Lg,Semi-finals,Wed,Home,W,3,0,eng Liverpool,3,0,0,11,15,3,6,14,5,0,0,0,87,11,7,61.1,Match Report
2019-05-04,20:45 ,La Liga,Matchweek 36,Sat,Away,L,0,2,Celta Vigo,5,0,0,13,11,1,7,5,3,0,1,0,61,10,10,50.0,Match Report
2019-05-07,20:00 ,Champions Lg,Semi-finals,Tue,Away,L,0,4,eng Liverpool,3,0,0,9,12,2,12,6,10,0,0,0,93,6,3,66.7,Match Report
2019-05-12,18:30 ,La Liga,Matchweek 37,Sun,Home,W,2,0,Getafe,1,0,0,9,12,1,13,12,6,0,0,0,97,15,15,50.0,Match Report
2019-05-19,16:15 ,La Liga,Matchweek 38,Sun,Away,D,2,2,Eibar,2,0,0,5,17,6,8,10,5,0,0,0,81,31,14,68.9,Match Report
2019-05-25,21:00 ,Copa del Rey,Final,Sat,Neutral,L,1,2,Valencia,2,0,0,9,13,1,29,7,11,0,0,0,,,,,Match Report
